geometry,start
"{""type"": ""Point"", ""coordinates"": [-73.95928168,40.68676793]}",29
"{""type"": ""Point"", ""coordinates"": [-73.9559308,40.8038654]}",29
"{""type"": ""Point"", ""coordinates"": [-73.9631145,40.6716493]}",28
"{""type"": ""Point"", ""coordinates"": [-73.96845281,40.76800889]}",28
"{""type"": ""Point"", ""coordinates"": [-73.935775,40.686312]}",28
"{""type"": ""Point"", ""coordinates"": [-73.949373,40.8078316]}",28
"{""type"": ""Point"", ""coordinates"": [-73.94111,40.6851532]}",28
"{""type"": ""Point"", ""coordinates"": [-73.95577801,40.7727966]}",28
"{""type"": ""Point"", ""coordinates"": [-73.952918,40.676368]}",28
"{""type"": ""Point"", ""coordinates"": [-73.9631611,40.6737236]}",28
"{""type"": ""Point"", ""coordinates"": [-73.9441232,40.7954121]}",28
"{""type"": ""Point"", ""coordinates"": [-74.00348559,40.6830456]}",28
"{""type"": ""Point"", ""coordinates"": [-73.9500739,40.8011939]}",27
"{""type"": ""Point"", ""coordinates"": [-73.98895053,40.666287]}",27
"{""type"": ""Point"", ""coordinates"": [-73.99318208,40.6829151]}",27
"{""type"": ""Point"", ""coordinates"": [-73.98178024,40.71926081]}",27
"{""type"": ""Point"", ""coordinates"": [-73.98128127,40.78720869]}",27
"{""type"": ""Point"", ""coordinates"": [-73.99364123,40.6777287]}",26
"{""type"": ""Point"", ""coordinates"": [-73.99440329,40.6849894]}",26
"{""type"": ""Point"", ""coordinates"": [-73.94954908,40.69539817]}",26
"{""type"": ""Point"", ""coordinates"": [-73.9854617,40.6663181]}",26
"{""type"": ""Point"", ""coordinates"": [-73.94910336,40.71335226]}",26
"{""type"": ""Point"", ""coordinates"": [-73.9596214,40.8086249]}",26
"{""type"": ""Point"", ""coordinates"": [-73.9468208,40.7724607]}",26
"{""type"": ""Point"", ""coordinates"": [-73.97355569,40.69580705]}",26
"{""type"": ""Point"", ""coordinates"": [-73.9432083,40.79329668]}",25
"{""type"": ""Point"", ""coordinates"": [-73.944024,40.711863]}",25
"{""type"": ""Point"", ""coordinates"": [-73.9397405,40.7527085]}",25
"{""type"": ""Point"", ""coordinates"": [-73.94755757,40.7903051]}",25
"{""type"": ""Point"", ""coordinates"": [-73.99905709,40.6809591]}",25
"{""type"": ""Point"", ""coordinates"": [-73.97431458,40.68539567]}",24
"{""type"": ""Point"", ""coordinates"": [-73.9614583,40.68223166]}",24
"{""type"": ""Point"", ""coordinates"": [-73.95881081,40.6845683]}",24
"{""type"": ""Point"", ""coordinates"": [-73.9634,40.8109494]}",24
"{""type"": ""Point"", ""coordinates"": [-73.95866,40.73564]}",24
"{""type"": ""Point"", ""coordinates"": [-73.944694,40.686203]}",24
"{""type"": ""Point"", ""coordinates"": [-73.962408,40.678045]}",24
"{""type"": ""Point"", ""coordinates"": [-73.96186,40.795346]}",24
"{""type"": ""Point"", ""coordinates"": [-73.95563722,40.67759207]}",24
"{""type"": ""Point"", ""coordinates"": [-74.00014502,40.6783563]}",24
"{""type"": ""Point"", ""coordinates"": [-73.94708417,40.69957608]}",24
"{""type"": ""Point"", ""coordinates"": [-73.94335788,40.75325964]}",24
"{""type"": ""Point"", ""coordinates"": [-73.9534573,40.7449067]}",23
"{""type"": ""Point"", ""coordinates"": [-73.98476437,40.69766564]}",23
"{""type"": ""Point"", ""coordinates"": [-73.942061,40.6894932]}",23
"{""type"": ""Point"", ""coordinates"": [-73.98258555,40.6827549]}",22
"{""type"": ""Point"", ""coordinates"": [-73.936322,40.805726]}",22
"{""type"": ""Point"", ""coordinates"": [-73.9379,40.8029263]}",22
"{""type"": ""Point"", ""coordinates"": [-73.93504,40.79747]}",22
"{""type"": ""Point"", ""coordinates"": [-73.98759104,40.6864442]}",22
"{""type"": ""Point"", ""coordinates"": [-73.9452416,40.69128258]}",22
"{""type"": ""Point"", ""coordinates"": [-73.94733276,40.74524768]}",22
"{""type"": ""Point"", ""coordinates"": [-73.941606,40.795508]}",22
"{""type"": ""Point"", ""coordinates"": [-73.9561677,40.6758324]}",22
"{""type"": ""Point"", ""coordinates"": [-73.9605695,40.66314]}",21
"{""type"": ""Point"", ""coordinates"": [-73.9236611,40.7557327]}",21
"{""type"": ""Point"", ""coordinates"": [-73.9504154,40.72179134]}",21
"{""type"": ""Point"", ""coordinates"": [-73.9590097,40.77677702]}",21
"{""type"": ""Point"", ""coordinates"": [-73.9389152,40.799139]}",21
"{""type"": ""Point"", ""coordinates"": [-73.96119945,40.76873687]}",21
"{""type"": ""Point"", ""coordinates"": [-73.94818595,40.70411791]}",21
"{""type"": ""Point"", ""coordinates"": [-73.99990419,40.6828003]}",21
"{""type"": ""Point"", ""coordinates"": [-73.945925,40.804038]}",20
"{""type"": ""Point"", ""coordinates"": [-73.94100005,40.71247661]}",20
"{""type"": ""Point"", ""coordinates"": [-73.94705951,40.71036854]}",20
"{""type"": ""Point"", ""coordinates"": [-73.98983002,40.67260298]}",20
"{""type"": ""Point"", ""coordinates"": [-73.98876585,40.6705135]}",20
"{""type"": ""Point"", ""coordinates"": [-74.00870204,40.65708867]}",20
"{""type"": ""Point"", ""coordinates"": [-73.956461,40.813358]}",20
"{""type"": ""Point"", ""coordinates"": [-74.0016256,40.68763155]}",20
"{""type"": ""Point"", ""coordinates"": [-73.955736,40.724055]}",20
"{""type"": ""Point"", ""coordinates"": [-73.95576894,40.68034242]}",20
"{""type"": ""Point"", ""coordinates"": [-73.96211287,40.7997568]}",20
"{""type"": ""Point"", ""coordinates"": [-73.99548059,40.70037867]}",20
"{""type"": ""Point"", ""coordinates"": [-73.96408963,40.70853074]}",20
"{""type"": ""Point"", ""coordinates"": [-73.97519523,40.6793307]}",20
"{""type"": ""Point"", ""coordinates"": [-73.98700053,40.6686273]}",20
"{""type"": ""Point"", ""coordinates"": [-73.95995021,40.73181402]}",20
"{""type"": ""Point"", ""coordinates"": [-73.920827,40.763154]}",19
"{""type"": ""Point"", ""coordinates"": [-73.9136695,40.7656251]}",19
"{""type"": ""Point"", ""coordinates"": [-73.97703874,40.69327018]}",19
"{""type"": ""Point"", ""coordinates"": [-73.98501143,40.67461342]}",19
"{""type"": ""Point"", ""coordinates"": [-73.98765475,40.679098]}",19
"{""type"": ""Point"", ""coordinates"": [-73.9564947,40.6741806]}",19
"{""type"": ""Point"", ""coordinates"": [-73.9398167,40.8013066]}",19
"{""type"": ""Point"", ""coordinates"": [-73.9286471,40.7633589]}",19
"{""type"": ""Point"", ""coordinates"": [-73.9551508,40.81]}",19
"{""type"": ""Point"", ""coordinates"": [-73.9166368,40.7577284]}",19
"{""type"": ""Point"", ""coordinates"": [-73.9437303,40.7016657]}",19
"{""type"": ""Point"", ""coordinates"": [-73.94485918,40.7169811]}",19
"{""type"": ""Point"", ""coordinates"": [-73.98208968,40.6704836]}",19
"{""type"": ""Point"", ""coordinates"": [-73.98541675,40.6704922]}",18
"{""type"": ""Point"", ""coordinates"": [-73.99333264,40.6685455]}",18
"{""type"": ""Point"", ""coordinates"": [-73.99344027,40.69535693]}",18
"{""type"": ""Point"", ""coordinates"": [-73.96579,40.6769694]}",18
"{""type"": ""Point"", ""coordinates"": [-73.95801365,40.69454609]}",18
"{""type"": ""Point"", ""coordinates"": [-73.9442507,40.8014866]}",18
"{""type"": ""Point"", ""coordinates"": [-73.9612547,40.8120562]}",18
"{""type"": ""Point"", ""coordinates"": [-73.952029,40.7160751]}",18
"{""type"": ""Point"", ""coordinates"": [-73.939182,40.80756]}",18
"{""type"": ""Point"", ""coordinates"": [-73.934326,40.754876]}",18
"{""type"": ""Point"", ""coordinates"": [-73.97440128,40.69999748]}",18
"{""type"": ""Point"", ""coordinates"": [-73.96304,40.68488]}",18
"{""type"": ""Point"", ""coordinates"": [-73.941747,40.80698]}",17
"{""type"": ""Point"", ""coordinates"": [-73.9222427,40.760339]}",17
"{""type"": ""Point"", ""coordinates"": [-73.95324737,40.81439444]}",17
"{""type"": ""Point"", ""coordinates"": [-73.93705428,40.69237074]}",17
"{""type"": ""Point"", ""coordinates"": [-73.9423,40.797911]}",17
"{""type"": ""Point"", ""coordinates"": [-73.94644578,40.70583339]}",17
"{""type"": ""Point"", ""coordinates"": [-73.9544354,40.70684203]}",17
"{""type"": ""Point"", ""coordinates"": [-73.944846,40.7989445]}",17
"{""type"": ""Point"", ""coordinates"": [-73.9538746,40.6630619]}",17
"{""type"": ""Point"", ""coordinates"": [-73.95033068,40.7904828]}",17
"{""type"": ""Point"", ""coordinates"": [-73.93956237,40.7892529]}",17
"{""type"": ""Point"", ""coordinates"": [-73.939877,40.6933982]}",16
"{""type"": ""Point"", ""coordinates"": [-73.9246145,40.7713615]}",16
"{""type"": ""Point"", ""coordinates"": [-73.91691685,40.7612939]}",16
"{""type"": ""Point"", ""coordinates"": [-74.00242364,40.6859296]}",16
"{""type"": ""Point"", ""coordinates"": [-74.01275056,40.6773429]}",16
"{""type"": ""Point"", ""coordinates"": [-73.94142771,40.67890679]}",16
"{""type"": ""Point"", ""coordinates"": [-73.951475,40.804372]}",16
"{""type"": ""Point"", ""coordinates"": [-73.96986848,40.69794]}",16
"{""type"": ""Point"", ""coordinates"": [-73.9532423,40.802535]}",16
"{""type"": ""Point"", ""coordinates"": [-73.950916,40.6883337]}",16
"{""type"": ""Point"", ""coordinates"": [-73.9646795,40.6804836]}",15
"{""type"": ""Point"", ""coordinates"": [-73.95381995,40.69331716]}",15
"{""type"": ""Point"", ""coordinates"": [-74.01472628,40.67583294]}",15
"{""type"": ""Point"", ""coordinates"": [-73.9240312,40.7647]}",15
"{""type"": ""Point"", ""coordinates"": [-73.9262231,40.7569332]}",15
"{""type"": ""Point"", ""coordinates"": [-73.95960689,40.74336608]}",15
"{""type"": ""Point"", ""coordinates"": [-73.941275,40.7485]}",15
"{""type"": ""Point"", ""coordinates"": [-73.9618148,40.6686744]}",15
"{""type"": ""Point"", ""coordinates"": [-73.9362541,40.7945663]}",14
"{""type"": ""Point"", ""coordinates"": [-73.944118,40.6823687]}",14
"{""type"": ""Point"", ""coordinates"": [-73.916142,40.7729]}",14
"{""type"": ""Point"", ""coordinates"": [-73.9298911,40.6794268]}",14
"{""type"": ""Point"", ""coordinates"": [-73.95238108,40.69527008]}",14
"{""type"": ""Point"", ""coordinates"": [-73.99869893,40.6763947]}",14
"{""type"": ""Point"", ""coordinates"": [-73.95921931,40.72248189]}",14
"{""type"": ""Point"", ""coordinates"": [-73.95133465,40.69072549]}",14
"{""type"": ""Point"", ""coordinates"": [-73.95399026,40.68216564]}",14
"{""type"": ""Point"", ""coordinates"": [-73.9492286,40.8125511]}",14
"{""type"": ""Point"", ""coordinates"": [-73.94776493,40.80949535]}",14
"{""type"": ""Point"", ""coordinates"": [-73.9554162,40.6691783]}",14
"{""type"": ""Point"", ""coordinates"": [-73.9476791,40.68035608]}",14
"{""type"": ""Point"", ""coordinates"": [-74.00264,40.752957]}",13
"{""type"": ""Point"", ""coordinates"": [-73.9265474,40.7658346]}",13
"{""type"": ""Point"", ""coordinates"": [-73.94860294,40.7859201]}",13
"{""type"": ""Point"", ""coordinates"": [-73.948852,40.74252]}",13
"{""type"": ""Point"", ""coordinates"": [-73.9242751,40.7580583]}",13
"{""type"": ""Point"", ""coordinates"": [-73.9120938,40.7701477]}",13
"{""type"": ""Point"", ""coordinates"": [-73.94800901,40.72146256]}",13
"{""type"": ""Point"", ""coordinates"": [-73.938037,40.682601]}",13
"{""type"": ""Point"", ""coordinates"": [-73.9311847,40.7974772]}",13
"{""type"": ""Point"", ""coordinates"": [-73.96434123,40.7969347]}",13
"{""type"": ""Point"", ""coordinates"": [-73.95206,40.78813]}",13
"{""type"": ""Point"", ""coordinates"": [-73.934171,40.770845]}",13
"{""type"": ""Point"", ""coordinates"": [-73.941342,40.698617]}",13
"{""type"": ""Point"", ""coordinates"": [-73.9609,40.6721683]}",13
"{""type"": ""Point"", ""coordinates"": [-73.94407279,40.70510918]}",13
"{""type"": ""Point"", ""coordinates"": [-73.9183302,40.78145]}",13
"{""type"": ""Point"", ""coordinates"": [-73.9184057,40.7699176]}",13
"{""type"": ""Point"", ""coordinates"": [-73.95736456,40.81028506]}",13
"{""type"": ""Point"", ""coordinates"": [-73.9347774,40.7668]}",12
"{""type"": ""Point"", ""coordinates"": [-73.9411265,40.7614376]}",12
"{""type"": ""Point"", ""coordinates"": [-73.9169858,40.7671]}",12
"{""type"": ""Point"", ""coordinates"": [-73.918544,40.774591]}",12
"{""type"": ""Point"", ""coordinates"": [-73.942954,40.80295]}",12
"{""type"": ""Point"", ""coordinates"": [-73.94976519,40.70538077]}",12
"{""type"": ""Point"", ""coordinates"": [-73.92957486,40.75651273]}",12
"{""type"": ""Point"", ""coordinates"": [-73.930819,40.7659]}",12
"{""type"": ""Point"", ""coordinates"": [-73.9398551,40.76315482]}",12
"{""type"": ""Point"", ""coordinates"": [-73.9354504,40.7692475]}",11
"{""type"": ""Point"", ""coordinates"": [-73.930562,40.76108]}",11
"{""type"": ""Point"", ""coordinates"": [-73.937261,40.796879]}",11
"{""type"": ""Point"", ""coordinates"": [-73.9373554,40.7671863]}",11
"{""type"": ""Point"", ""coordinates"": [-73.97803415,40.69608941]}",11
"{""type"": ""Point"", ""coordinates"": [-73.9342862,40.7628138]}",11
"{""type"": ""Point"", ""coordinates"": [-73.957539,40.745038]}",11
"{""type"": ""Point"", ""coordinates"": [-73.956741,40.666563]}",11
"{""type"": ""Point"", ""coordinates"": [-73.96922273,40.68415748]}",11
"{""type"": ""Point"", ""coordinates"": [-73.9419949,40.8005385]}",11
"{""type"": ""Point"", ""coordinates"": [-73.940636,40.7031724]}",11
"{""type"": ""Point"", ""coordinates"": [-73.9321455,40.7596276]}",10
"{""type"": ""Point"", ""coordinates"": [-73.94594845,40.75052534]}",10
"{""type"": ""Point"", ""coordinates"": [-73.9349,40.8006721]}",10
"{""type"": ""Point"", ""coordinates"": [-73.9479119,40.7519071]}",10
"{""type"": ""Point"", ""coordinates"": [-73.9334929,40.75186951]}",10
"{""type"": ""Point"", ""coordinates"": [-73.927631,40.7767]}",10
"{""type"": ""Point"", ""coordinates"": [-73.94500379,40.71929301]}",10
"{""type"": ""Point"", ""coordinates"": [-73.95587325,40.74436329]}",10
"{""type"": ""Point"", ""coordinates"": [-73.9309134,40.7739825]}",10
"{""type"": ""Point"", ""coordinates"": [-73.91065121,40.76408932]}",10
"{""type"": ""Point"", ""coordinates"": [-73.95796783,40.70708701]}",9
"{""type"": ""Point"", ""coordinates"": [-74.00194698,40.67434]}",9
"{""type"": ""Point"", ""coordinates"": [-74.00785041,40.6794327]}",9
"{""type"": ""Point"", ""coordinates"": [-73.9249574,40.768692]}",9
"{""type"": ""Point"", ""coordinates"": [-73.94880027,40.71766197]}",9
"{""type"": ""Point"", ""coordinates"": [-73.9153175,40.776165]}",9
"{""type"": ""Point"", ""coordinates"": [-73.945993,40.791976]}",9
"{""type"": ""Point"", ""coordinates"": [-73.99331394,40.6724811]}",9
"{""type"": ""Point"", ""coordinates"": [-73.9566,40.7423737]}",9
"{""type"": ""Point"", ""coordinates"": [-74.015665,40.677236]}",9
"{""type"": ""Point"", ""coordinates"": [-73.9142678,40.7595701]}",9
"{""type"": ""Point"", ""coordinates"": [-73.932719,40.757186]}",8
"{""type"": ""Point"", ""coordinates"": [-73.9587903,40.6791944]}",8
"{""type"": ""Point"", ""coordinates"": [-73.95032283,40.70029511]}",8
"{""type"": ""Point"", ""coordinates"": [-73.938475,40.6800105]}",8
"{""type"": ""Point"", ""coordinates"": [-73.9279917,40.7531106]}",7
"{""type"": ""Point"", ""coordinates"": [-73.9225403,40.7774552]}",7
"{""type"": ""Point"", ""coordinates"": [-73.9904394,40.668603]}",7
"{""type"": ""Point"", ""coordinates"": [-74.00324957,40.6763744]}",7
"{""type"": ""Point"", ""coordinates"": [-74.01195556,40.67363551]}",7
"{""type"": ""Point"", ""coordinates"": [-73.9588,40.6679411]}",7
"{""type"": ""Point"", ""coordinates"": [-74.011169,40.679043]}",7
"{""type"": ""Point"", ""coordinates"": [-73.947915,40.6900815]}",7
"{""type"": ""Point"", ""coordinates"": [-73.9337894,40.7747175]}",6
"{""type"": ""Point"", ""coordinates"": [-73.96055639,40.66643931]}",6
"{""type"": ""Point"", ""coordinates"": [-74.01062787,40.65539977]}",6
"{""type"": ""Point"", ""coordinates"": [-73.923706,40.774645]}",6
"{""type"": ""Point"", ""coordinates"": [-74.0100698,40.6753274]}",6
"{""type"": ""Point"", ""coordinates"": [-74.00860912,40.6812117]}",6
"{""type"": ""Point"", ""coordinates"": [-74.00647134,40.6769993]}",6
"{""type"": ""Point"", ""coordinates"": [-73.9145645,40.7787185]}",6
"{""type"": ""Point"", ""coordinates"": [-73.98721285,40.68461654]}",6
"{""type"": ""Point"", ""coordinates"": [-73.934903,40.6814598]}",6
"{""type"": ""Point"", ""coordinates"": [-73.9077436,40.7713937]}",6
"{""type"": ""Point"", ""coordinates"": [-73.9521,40.74966]}",6
"{""type"": ""Point"", ""coordinates"": [-73.9322662,40.7682]}",6
"{""type"": ""Point"", ""coordinates"": [-73.9286078,40.7703743]}",6
"{""type"": ""Point"", ""coordinates"": [-73.9569115,40.6627059]}",5
"{""type"": ""Point"", ""coordinates"": [-73.9391224,40.7576314]}",5
"{""type"": ""Point"", ""coordinates"": [-73.94977,40.68402]}",5
"{""type"": ""Point"", ""coordinates"": [-73.94821286,40.71638032]}",5
"{""type"": ""Point"", ""coordinates"": [-73.945133,40.75742]}",5
"{""type"": ""Point"", ""coordinates"": [-73.9170074,40.7711528]}",5
"{""type"": ""Point"", ""coordinates"": [-73.9362726,40.7601853]}",4
"{""type"": ""Point"", ""coordinates"": [-73.9364848,40.7638753]}",4
"{""type"": ""Point"", ""coordinates"": [-73.9574686,40.6642406]}",4
"{""type"": ""Point"", ""coordinates"": [-74.0094613,40.6777748]}",4
"{""type"": ""Point"", ""coordinates"": [-73.9485678,40.7552433]}",4
"{""type"": ""Point"", ""coordinates"": [-73.95643107,40.6906495]}",3
"{""type"": ""Point"", ""coordinates"": [-74.0075572,40.6747055]}",3
"{""type"": ""Point"", ""coordinates"": [-73.9391141,40.7627442]}",3
"{""type"": ""Point"", ""coordinates"": [-73.93795609,40.7535992]}",3
"{""type"": ""Point"", ""coordinates"": [-74.00494695,40.6725058]}",3
"{""type"": ""Point"", ""coordinates"": [-74.00879525,40.67267243]}",3
"{""type"": ""Point"", ""coordinates"": [-73.99463654,40.66906014]}",2
"{""type"": ""Point"", ""coordinates"": [-73.94176483,40.74375241]}",2
"{""type"": ""Point"", ""coordinates"": [-73.97100056,40.70531194]}",1
